= Anger =
---------
 4 : 88.89
17 : 86.67
23 : 80.00
24 : 73.33
 7 : 71.11
 6 : 17.78
38 : 17.78
14 : 15.56
 5 : 13.33
39 : 8.89
18 : 8.89
 9 : 6.67
15 : 6.67
10 : 4.44
43 : 4.44
31 : 4.44
34 : 2.22
12 : 2.22
16 : 2.22
54 : 2.22
28 : 2.22
30 : 2.22
= Happy =
---------
25 : 97.10
12 : 97.10
 6 : 95.65
 7 : 10.14
26 : 7.25
16 : 5.80
13 : 2.90
20 : 1.45
62 : 1.45
63 : 1.45
= Surprise =
------------
25 : 98.80
 1 : 97.59
 2 : 97.59
27 : 86.75
 5 : 84.34
26 : 12.05
38 : 6.02
12 : 3.61
16 : 3.61
10 : 2.41
64 : 1.20
 4 : 1.20
14 : 1.20
15 : 1.20
20 : 1.20
23 : 1.20
= Contempt =
------------
14 : 94.44
17 : 27.78
12 : 27.78
15 : 22.22
24 : 11.11
 1 : 5.56
 2 : 5.56
 4 : 5.56
23 : 5.56
= Fear =
--------
20 : 100.00
25 : 92.00
 1 : 88.00
 4 : 84.00
 5 : 64.00
 2 : 40.00
 7 : 24.00
14 : 20.00
10 : 16.00
16 : 16.00
 6 : 12.00
38 : 12.00
17 : 12.00
26 : 12.00
39 : 8.00
11 : 8.00
12 : 8.00
21 : 4.00
= Disgust =
-----------
 9 : 98.31
17 : 67.80
 4 : 61.02
 7 : 55.93
 6 : 30.51
25 : 15.25
10 : 11.86
24 : 11.86
38 : 10.17
12 : 3.39
14 : 3.39
15 : 3.39
23 : 3.39
64 : 1.69
 1 : 1.69
45 : 1.69
63 : 1.69
= Sadness =
-----------
17 : 96.43
 1 : 92.86
 4 : 82.14
15 : 82.14
 2 : 25.00
45 : 14.29
23 : 10.71
38 : 7.14
39 : 7.14
18 : 7.14
 7 : 3.57
24 : 3.57
26 : 3.57
